date,t1_date,code,name,market,score,t_pct,t_amount,t_turnover,t_vol_ratio,t_close,entry_proxy,exit_close,t1_high,gross_return,high_return,net_return,equity,n_candidates
2026-04-27,2026-04-28,688268,688268,SH,101.84942591283419,2.94,3454400000.0,15.42,1.7098577337384036,182.0,189.0,208.27,213.07,0.10195767195767202,0.12735449735449733,0.10115767195767203,1.1011576719576721,1147
2026-04-28,2026-04-29,688268,688268,SH,126.18357268280516,14.43,3334829699.9999995,14.19,1.364232431816415,208.27,197.0,190.23,197.0,-0.03436548223350255,0.0,-0.035165482233502555,1.0624349314081596,1144
2026-04-29,2026-04-30,603318,603318,SH,93.38628233707287,5.59,2121320799.9999998,33.32,2.492614059681288,14.55,14.68,14.26,15.1,-0.028610354223433276,0.028610354223433276,-0.029410354223433275,1.0311883437360965,1122
2026-04-30,2026-05-06,688515,688515,SH,77.06153105107308,13.42,1585714400.0,19.7,2.743808543322383,172.6,172.85,166.73,174.4,-0.035406421752965045,0.008967312698871854,-0.03620642175296505,0.9938527036560458,1182
2026-05-06,2026-05-07,688531,688531,SH,106.20562399965658,1.65,2647101200.0,19.13,2.9016780046286077,122.59,123.0,128.0,133.33,0.04065040650406515,0.08398373983739837,0.03985040650406515,1.0334581379019034,1307
2026-05-07,2026-05-08,300571,300571,SZ,107.61845953180547,11.76,1957261200.0,30.58,1.7766120207627276,57.58,56.85,58.0,58.99,0.020228671943711474,0.03764291996481961,0.019428671943711475,1.0535368570307586,1243
2026-05-08,2026-05-11,300819,300819,SZ,90.45192474000197,13.27,1322200799.9999998,12.46,2.6312289312261807,80.05,82.32,85.74,89.0,0.04154518950437325,0.08114674441205061,0.040745189504373246,1.0964634159203188,1267
2026-05-11,2026-05-12,300819,300819,SZ,94.72824846519222,7.11,1343060900.0,11.78,2.055817333406521,85.74,84.1,82.91,84.99,-0.014149821640903615,0.010582639714625364,-0.014949821640903615,1.0800714834165341,1387
2026-05-12,2026-05-13,300983,300983,SZ,85.17995913640955,9.02,242536100.0,4.82,1.5635004510591477,47.96,48.0,48.27,49.96,0.005624999999999991,0.04083333333333328,0.004824999999999991,1.085282828324019,1306
2026-05-13,2026-05-14,300449,300449,SZ,102.06191147380159,5.14,1665329200.0000002,35.95,16.83834201103285,12.06,11.82,11.05,12.05,-0.06514382402707275,0.019458544839255465,-0.06594382402707274,1.013715128473416,1253
2026-05-14,2026-05-15,300965,300965,SZ,119.73230366842607,18.54,882078100.0,17.39,7.365015067720411,93.88,85.99,78.01,87.9,-0.09280148854517956,0.02221188510291916,-0.09360148854517955,0.9188298834875364,1284
2026-05-15,2026-05-18,688146,688146,SH,121.89843748960604,3.14,4704174700.0,22.42,1.7647437211594788,145.55,141.36,135.9,147.64,-0.0386247877758914,0.04442558007923014,-0.0394247877758914,0.8826052103288932,1288
2026-05-18,2026-05-19,300959,300959,SZ,128.77074522392058,9.04,1727882800.0,18.05,1.4328621086486988,181.0,176.48,176.38,179.0,-0.0005666364460561457,0.014279238440616515,-0.0013666364460561456,0.8813990098809786,1223
2026-05-19,2026-05-20,688507,688507,SH,127.13448674624554,18.04,2773508800.0,39.15,5.823496481283885,152.3,145.0,155.3,159.0,0.07103448275862068,0.096551724137931,0.07023448275862068,0.9433036134439297,1191
2026-05-20,2026-05-21,688143,688143,SH,116.6401393693017,8.2,2005729100.0,11.55,0.8050113612237583,142.39,140.32,132.0,141.13,-0.05929304446978334,0.005772519954389876,-0.06009304446978334,0.8866176274527362,1193
2026-05-21,2026-05-22,001259,001259,SZ,104.2268599571462,9.28,389580700.0,9.45,1.3085450072437064,88.0,79.2,79.2,90.0,0.0,0.13636363636363624,-0.0008,0.885908333350774,1266
2026-05-22,2026-05-25,688610,688610,SH,86.78299041068168,15.83,648670100.0,8.11,1.353903866516082,205.0,200.9,202.28,202.28,0.006869089099054149,0.006869089099054149,0.006069089099054148,0.8912849899594745,1179
